addr1,addr2,areacode,benikia,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,cpyrhtDivCd,mapx,mapy,mlevel,modifiedtime,tel,title,booktour,sigungucode
경상북도 안동시 하회남촌길 69-5,,35,,B02,B0201,B02011600,2465071,32,2.02E+13,http://tong.visitkorea.or.kr/cms/resource/00/2626200_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/00/2626200_image3_1.jpg,Type3,128.5175868,36.53765375,6,2.02E+13,054-855-8552,가경재 [한국관광 품질인증/Korea Quality],,11
서울특별시 송파구 송파대로28길 5,(가락동),1,,B02,B0201,B02010100,142785,32,2.00E+13,,,,127.1166299,37.49665651,6,2.02E+13,02-400-6641~3,가락관광호텔,,18
전북특별자치도 전주시 완산구 한지길 68,(풍남동3가),37,,B02,B0201,B02011600,2671267,32,2.02E+13,,,,127.1535668,35.81732238,,2.02E+13,,가락청,,12
경기도 파주시 소라지로327번길 126-21,(송촌동),31,,B02,B0201,B02011600,2627867,32,2.02E+13,,,,126.6891949,37.75474939,,2.02E+13,,가람나무,,27
경상북도 안동시 풍천면 하회종가길 76-6,(풍천면),35,,B02,B0201,B02011600,1865597,32,2.01E+13,http://tong.visitkorea.or.kr/cms/resource/48/2993048_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/48/2993048_image3_1.jpg,Type1,128.516348,36.53906745,6,2.02E+13,010-3849-7542,가람초연재[한국관광 품질인증/Korea Quality],,11
제주특별자치도 서귀포시 법환하로9번길 10,,39,,B02,B0201,B02010700,1896032,32,2.01E+13,,,,126.5123384,33.23658703,6,2.02E+13,064-739-4499,가름게스트하우스,,3
강원특별자치도 인제군 인제읍 대목리길 137,,32,,B02,B0201,B02010700,2571998,32,2.02E+13,http://tong.visitkorea.or.kr/cms/resource/37/2571137_image2_1.jpeg,http://tong.visitkorea.or.kr/cms/resource/37/2571137_image2_1.jpeg,Type3,128.3383768,38.07318725,,2.02E+13,033-463-1212,가리벨리 관광펜션(가리벨리관광펜션휴양타운),,10
강원특별자치도 정선군 정선읍 청량길 32,,32,,B02,B0201,B02010700,582215,32,2.01E+13,http://tong.visitkorea.or.kr/cms/resource/09/582509_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/09/582509_image3_1.jpg,Type3,128.5773916,37.42411703,6,2.02E+13,033-562-1665,가리왕산이야기 펜션,,11
경기도 구리시 안골로 70,,31,,B02,B0201,B02010900,1781984,32,2.01E+13,,,,127.1388778,37.59722579,6,2.02E+13,031-563-0444,가바나모텔,,6
경기도 평택시 평택5로76번길 18-10,,31,,B02,B0201,B02010100,143017,32,2.00E+13,http://tong.visitkorea.or.kr/cms/resource/83/1942883_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/83/1942883_image3_1.jpg,Type3,127.1128582,36.99320082,6,2.02E+13,0507-1396-7702,가보호텔,,28
경상남도 하동군 화개로 13,,36,,B02,B0201,B02010900,2950408,32,2.02E+13,http://tong.visitkorea.or.kr/cms/resource/67/3009367_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/67/3009367_image3_1.jpg,Type1,127.6231054,35.18979881,6,2.02E+13,010-3889-6663,가비원모텔[한국관광 품질인증/Korea Quality],,18
경기도 양평군 용문면 용문산로 337,,31,,B02,B0201,B02010700,942523,32,2.01E+13,http://tong.visitkorea.or.kr/cms/resource/30/1893430_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/30/1893430_image3_1.jpg,Type3,127.6019461,37.52588974,6,2.02E+13,031-771-5180,가시버시펜션,,19
경상북도 성주군 수륜면 가야산식물원길 52,,35,,B02,B0201,B02010100,136485,32,2.00E+13,,,,128.1426628,35.80303597,6,2.02E+13,054-931-3500,가야호텔,,10
충청북도 청주시 청원구 오창읍 미래지로 71-54,,33,,B02,B0201,B02011600,2707444,32,2.02E+13,http://tong.visitkorea.or.kr/cms/resource/14/3067814_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/14/3067814_image3_1.jpg,Type1,127.4055418,36.73512188,,2.02E+13,043-233-9966,가영당 [한국관광 품질인증/Korea Quality],,10
전북특별자치도 전주시 완산구 한지길 68-13,(풍남동3가),37,,B02,B0201,B02011600,2593271,32,2.02E+13,http://tong.visitkorea.or.kr/cms/resource/60/2593460_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/60/2593460_image2_1.JPG,Type3,127.1532918,35.81706407,,2.02E+13,010-6345-5267,가은채 [한국관광 품질인증/Korea Quality],,12
