addr1,addr2,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,eventstartdate,eventenddate,firstimage,firstimage2,cpyrhtDivCd,mapx,mapy,mlevel,modifiedtime,areacode,sigungucode,tel,title
서울특별시 중구 충무로2가,명동역 3번출구 앞 상상광장,,A02,A0208,A02081300,3021762,15,20231000000000 ,20231021,20231022,http://tong.visitkorea.or.kr/cms/resource/07/3021807_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/07/3021807_image3_1.jpg,Type3,126.985515,37.56075227,6,20231000000000 ,1,24,02-6084-7079,"가을 , 명동으로"
대구광역시 서구 이현동,"48-16 , 서구 이현공원 어린이 물놀이장",,A02,A0207,A02070200,2397299,15,20160800000000 ,20230729,20230729,http://tong.visitkorea.or.kr/cms/resource/92/2993792_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/92/2993792_image3_1.jpg,Type3,128.5463336,35.87349924,6,20230700000000 ,4,6,053-663-2183,가족사랑 아이스축제
인천광역시 중구 구읍로 63 영종역사관,,,A02,A0207,A02070200,2986679,15,20230400000000 ,20230506,20230507,http://tong.visitkorea.or.kr/cms/resource/75/2986675_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/75/2986675_image3_1.jpg,Type3,126.5777264,37.48912279,6,20230600000000 ,2,10,070-4123-8950,가족의 달 어린이 축제
경기도 가평군 에덴벚꽃길 139,,,A02,A0207,A02070200,2484272,15,20170300000000 ,20230408,20230416,http://tong.visitkorea.or.kr/cms/resource/70/2952070_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/70/2952070_image3_1.jpg,Type3,127.4770526,37.78559895,6,20230300000000 ,31,1,031-585-0025,가평 에덴벚꽃길 벚꽃축제
경기도 수원시 장안구 송죽동,418-22 만석공원 제2야외음악당,,A02,A0207,A02070200,2848498,15,20220900000000 ,20231014,20231014,http://tong.visitkorea.or.kr/cms/resource/55/3018555_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/55/3018555_image3_1.png,Type3,127.0028013,37.30159098,6,20231000000000 ,31,13,02-554-9570,감성농부의 도시나들이
경상남도 거창군 연수사길 456 감악산ARGO-F관측소,,,A02,A0207,A02070200,2746930,15,20210900000000 ,20231004,20231015,http://tong.visitkorea.or.kr/cms/resource/01/2859201_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/01/2859201_image3_1.jpg,Type3,127.9199604,35.5901644,6,20230900000000 ,36,2,055-940-8227,감악산 꽃&별 여행
경상남도 거창군 신원면,거창군 감악산 정상,,A02,A0207,A02070200,1506389,15,20111200000000 ,20240101,20240101,http://tong.visitkorea.or.kr/cms/resource/49/3073049_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/49/3073049_image3_1.jpg,Type3,127.9274013,35.59532506,6,20231200000000 ,36,2,055-940-3425,감악산 해맞이 행사
서울특별시 강동구 동남로 870 강동아트센터,,,A02,A0207,A02070200,1806376,15,20130400000000 ,20231028,20231028,http://tong.visitkorea.or.kr/cms/resource/47/3018347_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/47/3018347_image3_1.jpg,Type3,127.1574079,37.55113704,6,20231000000000 ,1,2,"천호(총괄) 02-488-7223, 성내 02-471-0044, 해공 02-478-9656, 강일 02-427-4004, 암사 02-429-0476, 둔촌 02-489-6557",강동북페스티벌
서울특별시 강동구 올림픽로 875 (암사동),,,A02,A0207,A02070200,1307813,15,20110600000000 ,20231013,20231015,http://tong.visitkorea.or.kr/cms/resource/66/3010566_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/66/3010566_image3_1.jpg,Type3,127.1306157,37.5591134,6,20230900000000 ,1,2,02-3425-5240,강동선사문화축제
강원특별자치도 강릉시 경포로 365,(저동),,A02,A0207,A02070200,695592,15,20090200000000 ,20230331,20230405,,,,128.8955294,37.79431651,6,20230700000000 ,32,1,관광과 033-640-5130,강릉 경포벚꽃잔치
