addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,cpyrhtDivCd,mapx,mapy,mlevel,modifiedtime,sigungucode,tel,title,zipcode
충청남도 부여군 외산면 반교동로 9-8,,34,0,A02,A0201,A02010600,2607171,12,2.02E+13,,,,126.7176435,36.28381991,6,2.02E+13,6,,부여 반교마을,33105
충청남도 부여군 초촌면 산직리,,34,0,A02,A0201,A02010700,129475,12,2.01E+13,http://tong.visitkorea.or.kr/cms/resource/03/491103_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/03/491103_image3_1.jpg,Type3,127.0361908,36.25289564,6,2.02E+13,6,,부여 산직리지석묘,33174
충청남도 부여군 자온로 68,,34,,A02,A0203,A02030400,2820659,12,2.02E+13,,,,126.8873202,36.27423228,6,2.02E+13,6,,부여 선샤인,33124
충청남도 부여군 초촌면,,34,0,A02,A0205,A02050200,129476,12,2.01E+13,http://tong.visitkorea.or.kr/cms/resource/23/210123_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/23/210123_image3_1.jpg,Type3,127.0184084,36.27712589,6,2.02E+13,6,,부여 세탑리오층석탑,33172
충청남도 부여군 초촌면 선사로225번길 54,,34,0,A02,A0201,A02010700,129472,12,2.01E+13,http://tong.visitkorea.or.kr/cms/resource/11/2519911_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/11/2519911_image2_1.jpg,Type3,127.0351683,36.26588025,6,2.02E+13,6,,부여 송국리 유적,33174
충청남도 부여군 외산면 만수리,,34,0,A01,A0101,A01010400,129477,12,2.01E+13,http://tong.visitkorea.or.kr/cms/resource/03/491203_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/03/491203_image3_1.jpg,Type3,126.7017753,36.29110769,6,2.02E+13,6,,부여 수리바위,33103
충청남도 부여군 초촌면 신암로 178,,34,0,A02,A0203,A02030100,801231,12,2.01E+13,http://tong.visitkorea.or.kr/cms/resource/04/1962004_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/04/1962004_image3_1.jpg,Type3,126.9866666,36.28299134,6,2.02E+13,6,,부여 신암친환경마을,33171
충청남도 부여군 부여읍 왕릉로 61,,34,0,A02,A0201,A02010700,125987,12,2.00E+13,http://tong.visitkorea.or.kr/cms/resource/29/3037629_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/29/3037629_image3_1.JPG,Type3,126.9437651,36.27716903,6,2.02E+13,6,,부여 왕릉원 [유네스코 세계유산],33161
충청남도 부여군 부여읍 정림로 83,,34,1,A02,A0205,A02050200,126650,12,2.00E+13,http://tong.visitkorea.or.kr/cms/resource/52/2671452_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/52/2671452_image3_1.jpg,Type3,126.9132622,36.2797321,6,2.02E+13,6,,부여 정림사지 오층석탑 [유네스코 세계유산],33150
충청남도 부여군 부여읍 능산리,,34,0,A02,A0201,A02010200,250258,12,2.01E+13,,,,126.9686128,36.27956364,6,2.02E+13,6,,부여 청마산성,33161
충청남도 부여군 구룡면 성충로1342번길 21,,34,0,A02,A0201,A02010900,2607146,12,2.02E+13,http://tong.visitkorea.or.kr/cms/resource/85/2353185_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/85/2353185_image2_1.JPG,Type3,126.7982372,36.24988075,6,2.02E+13,6,,부여금사리성당,33191
충청남도 부여군 부여읍 월함로 277,,34,0,A02,A0203,A02030100,1938256,12,2.01E+13,,,,126.9371872,36.30409084,6,2.02E+13,6,,부여기와마을,33127
충청남도 부여군 석성면 금백로 425,,34,0,A02,A0203,A02030100,2631032,12,2.02E+13,http://tong.visitkorea.or.kr/cms/resource/09/2631009_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/09/2631009_image2_1.bmp,Type3,126.9922699,36.2445125,6,2.02E+13,6,,부여양송이마을,33177
충청남도 부여군 부여읍 의열로 21-4,,34,0,A02,A0201,A02010700,1954655,12,2.01E+13,,,,126.915112,36.2804015,6,2.02E+13,6,,부여향교,33149
강원특별자치도 강릉시 연곡면 삼산리 1298,,32,0,A02,A0203,A02030100,126895,12,2.00E+13,http://tong.visitkorea.or.kr/cms/resource/60/3029760_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/60/3029760_image3_1.jpg,Type3,128.6318759,37.86778343,6,2.02E+13,1,,부연동마을,25400
강원특별자치도 강릉시 연곡면 부연동길 964,,32,0,A01,A0101,A01011000,2772889,12,2.02E+13,,,,128.6404971,37.87806574,6,2.02E+13,1,,부연약수,25400
인천광역시 부평구 안남로 146,(산곡동),2,0,A02,A0202,A02020700,2767563,12,2.02E+13,http://tong.visitkorea.or.kr/cms/resource/35/2790135_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/35/2790135_image2_1.jpg,Type3,126.7098281,37.49596322,6,2.02E+13,6,,부영공원,21386
경상북도 안동시 풍천면 광덕솔밭길 72,,35,0,A01,A0102,A01020200,1180825,12,2.01E+13,http://tong.visitkorea.or.kr/cms/resource/21/2654421_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/21/2654421_image3_1.jpg,Type3,128.5179949,36.54460018,6,2.02E+13,11,,부용대,36757
전북특별자치도 김제시 백구면 황토로 1074-30,(백구면),37,0,A02,A0201,A02010800,1599564,12,2.02E+11,,,,126.955805,35.87909526,6,2.02E+13,3,,부용사,54331
광주광역시 남구 칠석동 129,,5,0,A02,A0201,A02010700,742332,12,2.01E+13,http://tong.visitkorea.or.kr/cms/resource/83/1558783_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/83/1558783_image3_1.jpg,Type3,126.8366334,35.06976277,6,2.02E+13,2,,부용정,61758
세종특별자치시  금호선말길 1,,8,,A01,A0101,A01010500,2986644,12,2.02E+13,,,,127.3545916,36.50187274,6,2.02E+13,1,,부용체육공원,30077
대구광역시 동구 팔공산로 967-28,(신무동),4,0,A02,A0201,A02010800,317499,12,2.01E+13,http://tong.visitkorea.or.kr/cms/resource/22/1574222_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/22/1574222_image3_1.jpg,Type3,128.6740023,35.99494895,6,2.02E+13,4,,부인사(대구),41006
경상남도 사천시 용현면 석양길 500,,36,0,A01,A0101,A01010500,2714851,12,2.02E+13,http://tong.visitkorea.or.kr/cms/resource/43/2714843_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/43/2714843_image2_1.jpg,Type3,128.0473034,35.00941543,6,2.02E+13,8,,부잔교갯벌탐방로,52540
경상남도 창원시 마산합포구 진전면 미천2길 148,,36,0,A02,A0203,A02030100,128995,12,2.01E+13,,,,128.4063349,35.15200305,6,2.02E+13,16,,부재산방,51795
경상남도 함양군 서상면 옥산리,,36,,A01,A0101,A01010900,3015386,12,2.02E+13,http://tong.visitkorea.or.kr/cms/resource/72/3015272_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/72/3015272_image3_1.jpg,Type3,127.6795827,35.65621933,6,2.02E+13,20,,부전계곡,50002
강원특별자치도 고성군 죽왕면 심층수길 40-3,,32,,A01,A0101,A01010500,3022435,12,2.02E+13,http://tong.visitkorea.or.kr/cms/resource/00/3022400_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/00/3022400_image3_1.jpg,Type3,128.5286543,38.32758908,6,2.02E+13,2,033-680-3362,부채바위,24747
경기도 부천시 원미구 길주로 105,(상동),31,0,A02,A0202,A02020600,2002467,12,2.02E+13,http://tong.visitkorea.or.kr/cms/resource/06/2002706_image2_1.jpeg,http://tong.visitkorea.or.kr/cms/resource/06/2002706_image2_1.jpeg,Type3,126.7537932,37.506435,6,2.02E+13,11,,부천 동물테마파크 하이주,14542
경기도 부천시 원미구 소사로 456,(원미동),31,0,A02,A0202,A02020700,127943,12,2.00E+13,http://tong.visitkorea.or.kr/cms/resource/38/2705838_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/38/2705838_image3_1.jpg,Type3,126.7978866,37.49754515,6,2.02E+13,11,,부천 원미공원,14659
경기도 부천시 소향로 162,,31,0,A02,A0202,A02020700,126704,12,2.00E+13,http://tong.visitkorea.or.kr/cms/resource/55/3077155_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/55/3077155_image3_1.jpg,Type3,126.7636925,37.50059141,6,2.02E+13,11,,부천 중앙공원,14584
경기도 부천시 심곡본동,,31,0,A02,A0205,A02050100,2674311,12,2.02E+13,,,,126.7798027,37.47841372,6,2.02E+13,11,,부천 하우고개 구름다리,
경기도 부천시 벌말로 122,(대장동),31,0,A02,A0204,A02040800,2465024,12,2.02E+13,,,,126.7653467,37.54229215,6,2.02E+13,11,,부천시 자원순환센터,14400
경기도 부천시 길주로 660,(춘의동),31,0,A01,A0101,A01010700,407030,12,2.01E+13,http://tong.visitkorea.or.kr/cms/resource/90/2537290_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/90/2537290_image3_1.jpg,Type3,126.8165653,37.5048113,6,2.02E+13,11,,부천식물원,14656
경기도 부천시 부천로 3,(심곡동),31,0,A02,A0202,A02020700,2741597,12,2.02E+13,,,,126.7823329,37.48469081,6,2.02E+13,11,,부천역마루광장,14637
경기도 부천시 조마루로 15 (상동),,31,,A01,A0101,A01010500,3075271,12,2.02E+13,http://tong.visitkorea.or.kr/cms/resource/24/3075224_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/24/3075224_image3_1.jpg,Type3,126.7454802,37.50167707,6,2.02E+13,11,,부천호수식물원 수피아,14592
전라남도 장흥군 부산면 부춘길 79,,38,0,A02,A0201,A02010700,705104,12,2.01E+13,http://tong.visitkorea.or.kr/cms/resource/11/2516211_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/11/2516211_image2_1.jpg,Type3,126.9088192,34.71169595,6,2.02E+13,20,,부춘정원림,59309
인천광역시 부평구 부평문화로 113,(부평동),2,0,A02,A0203,A02030600,749211,12,2.01E+13,,,,126.7290125,37.4943693,6,2.02E+13,6,,부평 해물탕거리,21392
인천광역시 부평구 부평공원로,(부평동),2,0,A02,A0202,A02020700,126837,12,2.00E+13,,,,126.7146084,37.48958904,6,2.02E+13,6,,부평공원,21405
인천광역시 계양구 어사대로 20,(계산동),2,0,A02,A0201,A02010100,1113314,12,2.01E+13,,,,126.7237949,37.54186924,6,2.02E+13,2,,부평도호부청사,21049
인천 부평구 광장로 30,(부평동),2,0,A02,A0202,A02020700,2768190,12,2.02E+13,http://tong.visitkorea.or.kr/cms/resource/91/2790591_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/91/2790591_image2_1.jpg,Type3,126.7244908,37.49053355,6,2.02E+13,6,,부평역북광장,21395
